mouse,grp,index_NOR,genotype,treatment,Dp1Yey,WT,LCTB92,VEH
VEH_97,WT_VEH,0.75,WT,VEH,False,True,False,True
VEH_95,Dp1Yey_VEH,0.64,Dp1Yey,VEH,True,False,False,True
VEH_87,Dp1Yey_VEH,0.66,Dp1Yey,VEH,True,False,False,True
VEH_83,WT_VEH,0.73,WT,VEH,False,True,False,True
VEH_74,Dp1Yey_VEH,0.43,Dp1Yey,VEH,True,False,False,True
VEH_70,Dp1Yey_VEH,0.44,Dp1Yey,VEH,True,False,False,True
VEH_69,WT_VEH,0.58,WT,VEH,False,True,False,True
VEH_67,Dp1Yey_VEH,0.37,Dp1Yey,VEH,True,False,False,True
VEH_59,WT_VEH,0.59,WT,VEH,False,True,False,True
VEH_49,WT_VEH,0.44,WT,VEH,False,True,False,True
VEH_40,WT_VEH,0.71,WT,VEH,False,True,False,True
VEH_35,Dp1Yey_VEH,0.33,Dp1Yey,VEH,True,False,False,True
VEH_176,Dp1Yey_VEH,0.47,Dp1Yey,VEH,True,False,False,True
VEH_174,WT_VEH,0.54,WT,VEH,False,True,False,True
VEH_149,Dp1Yey_VEH,0.33,Dp1Yey,VEH,True,False,False,True
VEH_148,WT_VEH,0.63,WT,VEH,False,True,False,True
VEH_132,WT_VEH,0.67,WT,VEH,False,True,False,True
VEH_131,Dp1Yey_VEH,0.24,Dp1Yey,VEH,True,False,False,True
VEH_127,WT_VEH,0.52,WT,VEH,False,True,False,True
VEH_120,WT_VEH,0.72,WT,VEH,False,True,False,True
VEH_108,WT_VEH,0.44,WT,VEH,False,True,False,True
VEH_0138,Dp1Yey_VEH,0.64,Dp1Yey,VEH,True,False,False,True
VEH_0134,Dp1Yey_VEH,0.46,Dp1Yey,VEH,True,False,False,True
VEH_0133,Dp1Yey_VEH,0.39,Dp1Yey,VEH,True,False,False,True
EDM92_88,WT_LCTB92,0.65,WT,LCTB92,False,True,True,False
EDM92_86,Dp1Yey_LCTB92,0.66,Dp1Yey,LCTB92,True,False,True,False
EDM92_84,WT_LCTB92,0.62,WT,LCTB92,False,True,True,False
EDM92_76,Dp1Yey_LCTB92,0.65,Dp1Yey,LCTB92,True,False,True,False
EDM92_75,WT_LCTB92,0.53,WT,LCTB92,False,True,True,False
EDM92_68,Dp1Yey_LCTB92,0.53,Dp1Yey,LCTB92,True,False,True,False
EDM92_60,WT_LCTB92,0.6,WT,LCTB92,False,True,True,False
EDM92_50,WT_LCTB92,0.44,WT,LCTB92,False,True,True,False
EDM92_41,WT_LCTB92,0.51,WT,LCTB92,False,True,True,False
EDM92_38,WT_LCTB92,0.77,WT,LCTB92,False,True,True,False
EDM92_36,Dp1Yey_LCTB92,0.67,Dp1Yey,LCTB92,True,False,True,False
EDM92_177,Dp1Yey_LCTB92,0.63,Dp1Yey,LCTB92,True,False,True,False
EDM92_159,WT_LCTB92,0.51,WT,LCTB92,False,True,True,False
EDM92_158,Dp1Yey_LCTB92,0.59,Dp1Yey,LCTB92,True,False,True,False
EDM92_155,WT_LCTB92,0.62,WT,LCTB92,False,True,True,False
EDM92_147,WT_LCTB92,0.54,WT,LCTB92,False,True,True,False
EDM92_138,Dp1Yey_LCTB92,0.67,Dp1Yey,LCTB92,True,False,True,False
EDM92_137,WT_LCTB92,0.55,WT,LCTB92,False,True,True,False
EDM92_134,WT_LCTB92,0.71,WT,LCTB92,False,True,True,False
EDM92_133,Dp1Yey_LCTB92,0.53,Dp1Yey,LCTB92,True,False,True,False
EDM92_128,Dp1Yey_LCTB92,0.61,Dp1Yey,LCTB92,True,False,True,False
EDM92_114,WT_LCTB92,0.56,WT,LCTB92,False,True,True,False
EDM92_101,Dp1Yey_LCTB92,0.7,Dp1Yey,LCTB92,True,False,True,False
EDM92_100,Dp1Yey_LCTB92,0.65,Dp1Yey,LCTB92,True,False,True,False
EDM92_0137,WT_LCTB92,0.57,WT,LCTB92,False,True,True,False
EDM92_0136,Dp1Yey_LCTB92,0.4,Dp1Yey,LCTB92,True,False,True,False
